dominio,categoria,servidor,ip_servidor,status_rcode,ips_retornados
www.google.com,Sem Filtragem,Google Public DNS,8.8.8.8,OK,"142.251.156.119, 142.251.151.119, 142.251.157.119, 142.251.155.119, 142.251.154.119, 142.251.150.119, 142.251.153.119, 142.251.152.119"
www.google.com,Sem Filtragem,Google Public DNS (secundário),8.8.4.4,OK,"142.251.157.119, 142.251.156.119, 142.251.151.119, 142.251.152.119, 142.251.153.119, 142.251.150.119, 142.251.154.119, 142.251.155.119"
www.google.com,Sem Filtragem,Cloudflare,1.1.1.1,OK,"142.251.150.119, 142.251.153.119, 142.251.151.119, 142.251.152.119, 142.251.154.119, 142.251.157.119, 142.251.155.119, 142.251.156.119"
www.google.com,Sem Filtragem,Cloudflare (secundário),1.0.0.1,OK,"142.251.153.119, 142.251.151.119, 142.251.156.119, 142.251.157.119, 142.251.150.119, 142.251.152.119, 142.251.154.119, 142.251.155.119"
www.google.com,Sem Filtragem,Quad9 (sem filtro),9.9.9.10,OK,"142.251.151.119, 142.251.156.119, 142.251.154.119, 142.251.152.119, 142.251.155.119, 142.251.157.119, 142.251.150.119, 142.251.153.119"
www.google.com,Sem Filtragem,Verisign,64.6.64.6,OK,"142.251.157.119, 142.251.153.119, 142.251.150.119, 142.251.155.119, 142.251.152.119, 142.251.151.119, 142.251.156.119, 142.251.154.119"
www.google.com,Com Filtragem de Segurança,Quad9,9.9.9.9,OK,"142.251.151.119, 142.251.156.119, 142.251.154.119, 142.251.152.119, 142.251.155.119, 142.251.157.119, 142.251.150.119, 142.251.153.119"
www.google.com,Com Filtragem de Segurança,OpenDNS,208.67.222.222,OK,"142.251.156.119, 142.251.157.119, 142.251.150.119, 142.251.151.119, 142.251.152.119, 142.251.153.119, 142.251.154.119, 142.251.155.119"
www.google.com,Com Filtragem de Segurança,CleanBrowsing Security,185.228.168.9,OK,"142.251.156.119, 142.251.157.119, 142.251.150.119, 142.251.154.119, 142.251.152.119, 142.251.153.119, 142.251.151.119, 142.251.155.119"
www.google.com,Com Filtragem de Segurança,AdGuard DNS,94.140.14.14,OK,"142.251.156.119, 142.251.150.119, 142.251.154.119, 142.251.151.119, 142.251.155.119, 142.251.157.119, 142.251.153.119, 142.251.152.119"
www.google.com,Com Filtragem Familiar,Cloudflare Family,1.1.1.3,OK,216.239.38.120
www.google.com,Com Filtragem Familiar,OpenDNS FamilyShield,208.67.222.123,OK,"142.251.156.119, 142.251.157.119, 142.251.150.119, 142.251.151.119, 142.251.152.119, 142.251.153.119, 142.251.154.119, 142.251.155.119"
www.google.com,Com Filtragem Familiar,CleanBrowsing Family,185.228.168.168,OK,216.239.38.120
www.google.com,Com Filtragem Familiar,AdGuard Family,94.140.14.15,OK,216.239.38.120
www.google.com,Adicionais Escolhidos,Control D,76.76.2.0,OK,"142.251.151.119, 142.251.150.119, 142.251.155.119, 142.251.156.119, 142.251.157.119, 142.251.154.119, 142.251.153.119, 142.251.152.119"
www.google.com,Adicionais Escolhidos,Comodo Secure,8.26.56.26,OK,"142.251.157.119, 142.251.150.119, 142.251.155.119, 142.251.151.119, 142.251.156.119, 142.251.154.119, 142.251.152.119, 142.251.153.119"
www.google.com,Adicionais Escolhidos,DNS Provedor Local (Claro/Vivo),200.215.1.1,TIMEOUT,Nenhum
www.google.com,Adicionais Escolhidos,Mullvad DNS,194.242.2.2,REFUSED,Nenhum
www.google.com,Adicionais Escolhidos,Freenom World,80.80.80.80,OK,"142.251.151.119, 142.251.154.119, 142.251.150.119, 142.251.157.119, 142.251.152.119, 142.251.153.119, 142.251.156.119, 142.251.155.119"
